candidate,county,district name,party,race name,votes
Dale K. Mensing,Districtwide,District 2,REP,U.S. House of Representatives,"47,356"
Jared Huffman,Del Norte,District 2,DEM,U.S. House of Representatives,"3,263"
Dale K. Mensing,Del Norte,District 2,REP,U.S. House of Representatives,"3,732"
Jared Huffman,Humboldt,District 2,DEM,U.S. House of Representatives,"19,434"
Dale K. Mensing,Humboldt,District 2,REP,U.S. House of Representatives,"9,614"
Jared Huffman,Marin,District 2,DEM,U.S. House of Representatives,"60,296"
Dale K. Mensing,Marin,District 2,REP,U.S. House of Representatives,"13,517"
Jared Huffman,Mendocino,District 2,DEM,U.S. House of Representatives,"10,678"
Dale K. Mensing,Mendocino,District 2,REP,U.S. House of Representatives,"4,769"
Jared Huffman,Sonoma,District 2,DEM,U.S. House of Representatives,"42,797"
Dale K. Mensing,Sonoma,District 2,REP,U.S. House of Representatives,"13,527"
Jared Huffman,Trinity,District 2,DEM,U.S. House of Representatives,"2,093"
Dale K. Mensing,Trinity,District 2,REP,U.S. House of Representatives,"2,197"
John Garamendi,Districtwide,District 3,DEM,U.S. House of Representatives,"91,130"
Charlie Schaupp,Districtwide,District 3,REP,U.S. House of Representatives,"67,986"
John Garamendi,Colusa,District 3,DEM,U.S. House of Representatives,"1,992"
Charlie Schaupp,Colusa,District 3,REP,U.S. House of Representatives,"2,838"
John Garamendi,Glenn,District 3,DEM,U.S. House of Representatives,"1,366"
Charlie Schaupp,Glenn,District 3,REP,U.S. House of Representatives,"2,327"
John Garamendi,Lake,District 3,DEM,U.S. House of Representatives,"3,242"
Charlie Schaupp,Lake,District 3,REP,U.S. House of Representatives,"2,620"
John Garamendi,Sacramento,District 3,DEM,U.S. House of Representatives,"1,883"
Charlie Schaupp,Sacramento,District 3,REP,U.S. House of Representatives,"2,259"
John Garamendi,Solano,District 3,DEM,U.S. House of Representatives,"47,096"
Charlie Schaupp,Solano,District 3,REP,U.S. House of Representatives,"32,577"
John Garamendi,Sutter,District 3,DEM,U.S. House of Representatives,"7,026"
Charlie Schaupp,Sutter,District 3,REP,U.S. House of Representatives,"9,169"
John Garamendi,Yolo,District 3,DEM,U.S. House of Representatives,"24,041"
Charlie Schaupp,Yolo,District 3,REP,U.S. House of Representatives,"9,723"
John Garamendi,Yuba,District 3,DEM,U.S. House of Representatives,"4,484"
Charlie Schaupp,Yuba,District 3,REP,U.S. House of Representatives,"6,473"
Jessica Morse,Districtwide,District 4,DEM,U.S. House of Representatives,"98,686"
Tom McClintock,Districtwide,District 4,REP,U.S. House of Representatives,"122,636"
Jessica Morse,Alpine,District 4,DEM,U.S. House of Representatives,394
Tom McClintock,Alpine,District 4,REP,U.S. House of Representatives,193
Jessica Morse,Amador,District 4,DEM,U.S. House of Representatives,"6,292"
Tom McClintock,Amador,District 4,REP,U.S. House of Representatives,"9,166"
Jessica Morse,Calaveras,District 4,DEM,U.S. House of Representatives,"6,764"
Tom McClintock,Calaveras,District 4,REP,U.S. House of Representatives,"9,386"
Jessica Morse,El Dorado,District 4,DEM,U.S. House of Representatives,"29,148"
Tom McClintock,El Dorado,District 4,REP,U.S. House of Representatives,"34,764"
Jessica Morse,Fresno,District 4,DEM,U.S. House of Representatives,"1,167"
Tom McClintock,Fresno,District 4,REP,U.S. House of Representatives,"3,447"
Jessica Morse,Madera,District 4,DEM,U.S. House of Representatives,"3,481"
Tom McClintock,Madera,District 4,REP,U.S. House of Representatives,"6,574"
Jessica Morse,Mariposa,District 4,DEM,U.S. House of Representatives,"2,805"
Tom McClintock,Mariposa,District 4,REP,U.S. House of Representatives,"3,917"
Jessica Morse,Nevada,District 4,DEM,U.S. House of Representatives,"2,916"
Tom McClintock,Nevada,District 4,REP,U.S. House of Representatives,"1,049"
Jessica Morse,Placer,District 4,DEM,U.S. House of Representatives,"38,341"
Tom McClintock,Placer,District 4,REP,U.S. House of Representatives,"45,003"
Jessica Morse,Tuolumne,District 4,DEM,U.S. House of Representatives,"7,378"
Tom McClintock,Tuolumne,District 4,REP,U.S. House of Representatives,"9,137"
Mike Thompson,Districtwide,District 5,DEM,U.S. House of Representatives,"123,174"
Anthony Mills,Districtwide,District 5,NPP,U.S. House of Representatives,"34,642"
Mike Thompson,Contra Costa,District 5,DEM,U.S. House of Representatives,"13,710"
Anthony Mills,Contra Costa,District 5,NPP,U.S. House of Representatives,"4,207"
Mike Thompson,Lake,District 5,DEM,U.S. House of Representatives,"4,722"
Anthony Mills,Lake,District 5,NPP,U.S. House of Representatives,"2,299"
Mike Thompson,Napa,District 5,DEM,U.S. House of Representatives,"15,336"
Anthony Mills,Napa,District 5,NPP,U.S. House of Representatives,"5,385"
Mike Thompson,Solano,District 5,DEM,U.S. House of Representatives,"34,011"
Anthony Mills,Solano,District 5,NPP,U.S. House of Representatives,"8,994"
Mike Thompson,Sonoma,District 5,DEM,U.S. House of Representatives,"55,395"
Anthony Mills,Sonoma,District 5,NPP,U.S. House of Representatives,"13,757"
Jrmar Jefferson,Districtwide,District 6,DEM,U.S. House of Representatives,"14,781"
Doris Matsui,Districtwide,District 6,DEM,U.S. House of Representatives,"58,007"
Jrmar Jefferson,Sacramento,District 6,DEM,U.S. House of Representatives,"12,794"
Doris Matsui,Sacramento,District 6,DEM,U.S. House of Representatives,"51,229"
Jrmar Jefferson,Yolo,District 6,DEM,U.S. House of Representatives,"1,987"
Doris Matsui,Yolo,District 6,DEM,U.S. House of Representatives,"6,778"
Paul Cook,Districtwide,District 8,REP,U.S. House of Representatives,"66,136"
Tim Donnelly,Districtwide,District 8,REP,U.S. House of Representatives,"43,589"
Paul Cook,Inyo,District 8,REP,U.S. House of Representatives,"2,198"
Tim Donnelly,Inyo,District 8,REP,U.S. House of Representatives,"1,970"
Paul Cook,Mono,District 8,REP,U.S. House of Representatives,"2,001"
Tim Donnelly,Mono,District 8,REP,U.S. House of Representatives,"1,453"
Paul Cook,San Bernardino,District 8,REP,U.S. House of Representatives,"61,937"
Tim Donnelly,San Bernardino,District 8,REP,U.S. House of Representatives,"40,166"
Jerry McNerney,Districtwide,District 9,DEM,U.S. House of Representatives,"56,188"
Marla Livengood,Districtwide,District 9,REP,U.S. House of Representatives,"47,316"
Jerry McNerney,Contra Costa,District 9,DEM,U.S. House of Representatives,"21,367"
Marla Livengood,Contra Costa,District 9,REP,U.S. House of Representatives,"15,089"
Jerry McNerney,Sacramento,District 9,DEM,U.S. House of Representatives,"1,414"
Marla Livengood,Sacramento,District 9,REP,U.S. House of Representatives,"2,026"
Jerry McNerney,San Joaquin,District 9,DEM,U.S. House of Representatives,"33,407"
Marla Livengood,San Joaquin,District 9,REP,U.S. House of Representatives,"30,201"
Josh Harder,Districtwide,District 10,DEM,U.S. House of Representatives,"55,414"
Jeff Denham,Districtwide,District 10,REP,U.S. House of Representatives,"56,701"
Josh Harder,San Joaquin,District 10,DEM,U.S. House of Representatives,"16,860"
Jeff Denham,San Joaquin,District 10,REP,U.S. House of Representatives,"16,430"
Josh Harder,Stanislaus,District 10,DEM,U.S. House of Representatives,"38,554"
Jeff Denham,Stanislaus,District 10,REP,U.S. House of Representatives,"40,271"
Barbara Lee,Districtwide,District 13,DEM,U.S. House of Representatives,"106,951"
Laura Wells,Districtwide,District 13,GRN,U.S. House of Representatives,"14,983"
Barbara Lee,Alameda,District 13,DEM,U.S. House of Representatives,"106,951"
Laura Wells,Alameda,District 13,GRN,U.S. House of Representatives,"14,983"
Barbara Lee,San Francisco,District 13,DEM,U.S. House of Representatives,0
Laura Wells,San Francisco,District 13,GRN,U.S. House of Representatives,0
Jackie Speier,Districtwide,District 14,DEM,U.S. House of Representatives,"76,714"
Cristina OsmeÃ±a,Districtwide,District 14,REP,U.S. House of Representatives,"23,517"
Jackie Speier,San Francisco,District 14,DEM,U.S. House of Representatives,"19,883"
Cristina Osmeña,San Francisco,District 14,REP,U.S. House of Representatives,"4,628"
Jackie Speier,San Mateo,District 14,DEM,U.S. House of Representatives,"56,831"
Cristina Osmeña,San Mateo,District 14,REP,U.S. House of Representatives,"18,889"
Eric Swalwell,Districtwide,District 15,DEM,U.S. House of Representatives,"81,428"
Rudy L. Peters Jr.,Districtwide,District 15,REP,U.S. House of Representatives,"34,953"
Eric Swalwell,Alameda,District 15,DEM,U.S. House of Representatives,"70,759"
Rudy L. Peters Jr.,Alameda,District 15,REP,U.S. House of Representatives,"29,575"
Eric Swalwell,Contra Costa,District 15,DEM,U.S. House of Representatives,"10,669"
Rudy L. Peters Jr.,Contra Costa,District 15,REP,U.S. House of Representatives,"5,378"
Jim Costa,Districtwide,District 16,DEM,U.S. House of Representatives,"44,769"
Elizabeth Heng,Districtwide,District 16,REP,U.S. House of Representatives,"37,480"
Jim Costa,Fresno,District 16,DEM,U.S. House of Representatives,"20,782"
Elizabeth Heng,Fresno,District 16,REP,U.S. House of Representatives,"11,787"
Jim Costa,Madera,District 16,DEM,U.S. House of Representatives,"7,445"
Elizabeth Heng,Madera,District 16,REP,U.S. House of Representatives,"10,282"
Jim Costa,Merced,District 16,DEM,U.S. House of Representatives,"16,542"
Elizabeth Heng,Merced,District 16,REP,U.S. House of Representatives,"15,411"
Ro Khanna,Districtwide,District 17,DEM,U.S. House of Representatives,"79,220"
Ron Cohen,Districtwide,District 17,REP,U.S. House of Representatives,"29,632"
Ro Khanna,Alameda,District 17,DEM,U.S. House of Representatives,"17,272"
Ron Cohen,Alameda,District 17,REP,U.S. House of Representatives,"6,664"
Ro Khanna,Santa Clara,District 17,DEM,U.S. House of Representatives,"61,948"
Ron Cohen,Santa Clara,District 17,REP,U.S. House of Representatives,"22,968"
Anna G. Eshoo,Districtwide,District 18,DEM,U.S. House of Representatives,"103,175"
Christine Russell,Districtwide,District 18,REP,U.S. House of Representatives,"40,997"
Anna G. Eshoo,San Mateo,District 18,DEM,U.S. House of Representatives,"11,854"
Christine Russell,San Mateo,District 18,REP,U.S. House of Representatives,"4,356"
Anna G. Eshoo,Santa Clara,District 18,DEM,U.S. House of Representatives,"80,967"
Christine Russell,Santa Clara,District 18,REP,U.S. House of Representatives,"32,585"
Anna G. Eshoo,Santa Cruz,District 18,DEM,U.S. House of Representatives,"10,354"
Christine Russell,Santa Cruz,District 18,REP,U.S. House of Representatives,"4,056"
Jimmy Panetta,Districtwide,District 20,DEM,U.S. House of Representatives,"95,201"
Ronald Paul Kabat,Districtwide,District 20,NPP,U.S. House of Representatives,"25,261"
Jimmy Panetta,Monterey,District 20,DEM,U.S. House of Representatives,"53,035"
Ronald Paul Kabat,Monterey,District 20,NPP,U.S. House of Representatives,"15,241"
Jimmy Panetta,San Benito,District 20,DEM,U.S. House of Representatives,"7,548"
Ronald Paul Kabat,San Benito,District 20,NPP,U.S. House of Representatives,"3,361"
Jimmy Panetta,Santa Clara,District 20,DEM,U.S. House of Representatives,"1,498"
Ronald Paul Kabat,Santa Clara,District 20,NPP,U.S. House of Representatives,438
Jimmy Panetta,Santa Cruz,District 20,DEM,U.S. House of Representatives,"33,120"
Ronald Paul Kabat,Santa Cruz,District 20,NPP,U.S. House of Representatives,"6,221"
TJ Cox,Districtwide,District 21,DEM,U.S. House of Representatives,"30,989"
David G. Valadao,Districtwide,District 21,REP,U.S. House of Representatives,"36,101"
TJ Cox,Fresno,District 21,DEM,U.S. House of Representatives,"10,648"
David G. Valadao,Fresno,District 21,REP,U.S. House of Representatives,"12,483"
TJ Cox,Kern,District 21,DEM,U.S. House of Representatives,"12,609"
David G. Valadao,Kern,District 21,REP,U.S. House of Representatives,"9,699"
TJ Cox,Kings,District 21,DEM,U.S. House of Representatives,"6,933"
David G. Valadao,Kings,District 21,REP,U.S. House of Representatives,"12,867"
TJ Cox,Tulare,District 21,DEM,U.S. House of Representatives,799
David G. Valadao,Tulare,District 21,REP,U.S. House of Representatives,"1,052"
Andrew Janz,Districtwide,District 22,DEM,U.S. House of Representatives,"59,528"
Devin G. Nunes,Districtwide,District 22,REP,U.S. House of Representatives,"75,111"
Andrew Janz,Fresno,District 22,DEM,U.S. House of Representatives,"41,248"
Devin G. Nunes,Fresno,District 22,REP,U.S. House of Representatives,"50,892"
Andrew Janz,Tulare,District 22,DEM,U.S. House of Representatives,"18,280"
Devin G. Nunes,Tulare,District 22,REP,U.S. House of Representatives,"24,219"
Tatiana Matta,Districtwide,District 23,DEM,U.S. House of Representatives,"45,152"
Kevin McCarthy,Districtwide,District 23,REP,U.S. House of Representatives,"89,568"
Tatiana Matta,Kern,District 23,DEM,U.S. House of Representatives,"34,477"
Kevin McCarthy,Kern,District 23,REP,U.S. House of Representatives,"74,028"
Tatiana Matta,Los Angeles,District 23,DEM,U.S. House of Representatives,"6,681"
Kevin McCarthy,Los Angeles,District 23,REP,U.S. House of Representatives,"8,925"
Tatiana Matta,Tulare,District 23,DEM,U.S. House of Representatives,"3,994"
Kevin McCarthy,Tulare,District 23,REP,U.S. House of Representatives,"6,615"
Salud Carbajal,Districtwide,District 24,DEM,U.S. House of Representatives,"96,187"
Justin Fareed,Districtwide,District 24,REP,U.S. House of Representatives,"75,695"
Salud Carbajal,San Luis Obispo,District 24,DEM,U.S. House of Representatives,"41,991"
Justin Fareed,San Luis Obispo,District 24,REP,U.S. House of Representatives,"38,287"
Salud Carbajal,Santa Barbara,District 24,DEM,U.S. House of Representatives,"52,612"
Justin Fareed,Santa Barbara,District 24,REP,U.S. House of Representatives,"36,489"
Salud Carbajal,Ventura,District 24,DEM,U.S. House of Representatives,"1,584"
Justin Fareed,Ventura,District 24,REP,U.S. House of Representatives,919
Katie Hill,Districtwide,District 25,DEM,U.S. House of Representatives,"83,662"
Steve Knight,Districtwide,District 25,REP,U.S. House of Representatives,"79,545"
Katie Hill,Los Angeles,District 25,DEM,U.S. House of Representatives,"67,102"
Steve Knight,Los Angeles,District 25,REP,U.S. House of Representatives,"61,570"
Katie Hill,Ventura,District 25,DEM,U.S. House of Representatives,"16,560"
Steve Knight,Ventura,District 25,REP,U.S. House of Representatives,"17,975"
Julia Brownley,Districtwide,District 26,DEM,U.S. House of Representatives,"96,489"
"Antonio Sabato, Jr.",Districtwide,District 26,REP,U.S. House of Representatives,"65,894"
Julia Brownley,Los Angeles,District 26,DEM,U.S. House of Representatives,"1,727"
"Antonio Sabato, Jr.",Los Angeles,District 26,REP,U.S. House of Representatives,"1,452"
Julia Brownley,Ventura,District 26,DEM,U.S. House of Representatives,"94,762"
"Antonio Sabato, Jr.",Ventura,District 26,REP,U.S. House of Representatives,"64,442"
Judy Chu,Districtwide,District 27,DEM,U.S. House of Representatives,"104,414"
Bryan Witt,Districtwide,District 27,DEM,U.S. House of Representatives,"28,740"
Judy Chu,Los Angeles,District 27,DEM,U.S. House of Representatives,"99,584"
Bryan Witt,Los Angeles,District 27,DEM,U.S. House of Representatives,"25,785"
Judy Chu,San Bernardino,District 27,DEM,U.S. House of Representatives,"4,830"
Bryan Witt,San Bernardino,District 27,DEM,U.S. House of Representatives,"2,955"
Brad Sherman,Districtwide,District 30,DEM,U.S. House of Representatives,"124,383"
Mark S. Reed,Districtwide,District 30,REP,U.S. House of Representatives,"49,887"
Brad Sherman,Los Angeles,District 30,DEM,U.S. House of Representatives,"123,961"
Mark S. Reed,Los Angeles,District 30,REP,U.S. House of Representatives,"49,557"
Brad Sherman,Ventura,District 30,DEM,U.S. House of Representatives,422
Mark S. Reed,Ventura,District 30,REP,U.S. House of Representatives,330
Norma J. Torres,Districtwide,District 35,DEM,U.S. House of Representatives,"58,982"
Christian Leonel Valiente,Districtwide,District 35,REP,U.S. House of Representatives,"28,282"
Norma J. Torres,Los Angeles,District 35,DEM,U.S. House of Representatives,"14,734"
Christian Leonel Valiente,Los Angeles,District 35,REP,U.S. House of Representatives,"5,223"
Norma J. Torres,San Bernardino,District 35,DEM,U.S. House of Representatives,"44,248"
Christian Leonel Valiente,San Bernardino,District 35,REP,U.S. House of Representatives,"23,059"
Linda T. SÃ¡nchez,Districtwide,District 38,DEM,U.S. House of Representatives,"91,103"
Ryan Downing,Districtwide,District 38,REP,U.S. House of Representatives,"45,169"
Linda T. Sánchez,Los Angeles,District 38,DEM,U.S. House of Representatives,"89,286"
Ryan Downing,Los Angeles,District 38,REP,U.S. House of Representatives,"43,434"
Linda T. Sánchez,Orange,District 38,DEM,U.S. House of Representatives,"1,817"
Ryan Downing,Orange,District 38,REP,U.S. House of Representatives,"1,735"
Gil Cisneros,Districtwide,District 39,DEM,U.S. House of Representatives,"74,330"
Young Kim,Districtwide,District 39,REP,U.S. House of Representatives,"78,201"
Gil Cisneros,Los Angeles,District 39,DEM,U.S. House of Representatives,"22,105"
Young Kim,Los Angeles,District 39,REP,U.S. House of Representatives,"17,225"
Gil Cisneros,Orange,District 39,DEM,U.S. House of Representatives,"44,963"
Young Kim,Orange,District 39,REP,U.S. House of Representatives,"53,220"
Gil Cisneros,San Bernardino,District 39,DEM,U.S. House of Representatives,"7,262"
Young Kim,San Bernardino,District 39,REP,U.S. House of Representatives,"7,756"
Alan Lowenthal,Districtwide,District 47,DEM,U.S. House of Representatives,"87,273"
John Briscoe,Districtwide,District 47,REP,U.S. House of Representatives,"52,892"
Alan Lowenthal,Los Angeles,District 47,DEM,U.S. House of Representatives,"60,072"
John Briscoe,Los Angeles,District 47,REP,U.S. House of Representatives,"26,583"
Alan Lowenthal,Orange,District 47,DEM,U.S. House of Representatives,"27,201"
John Briscoe,Orange,District 47,REP,U.S. House of Representatives,"26,309"
Mike Levin,Districtwide,District 49,DEM,U.S. House of Representatives,"95,138"
Diane L. Harkey,Districtwide,District 49,REP,U.S. House of Representatives,"82,648"
Mike Levin,Orange,District 49,DEM,U.S. House of Representatives,"21,524"
Diane L. Harkey,Orange,District 49,REP,U.S. House of Representatives,"26,807"
Mike Levin,San Diego,District 49,DEM,U.S. House of Representatives,"73,614"
Diane L. Harkey,San Diego,District 49,REP,U.S. House of Representatives,"55,841"
Ammar Campa-Najjar,Districtwide,District 50,DEM,U.S. House of Representatives,"69,244"
Duncan Hunter,Districtwide,District 50,REP,U.S. House of Representatives,"82,379"
Ammar Campa-Najjar,Riverside,District 50,DEM,U.S. House of Representatives,"5,551"
Duncan Hunter,Riverside,District 50,REP,U.S. House of Representatives,"7,798"
Ammar Campa-Najjar,San Diego,District 50,DEM,U.S. House of Representatives,"63,693"
Duncan Hunter,San Diego,District 50,REP,U.S. House of Representatives,"74,581"
Juan Vargas,Districtwide,District 51,DEM,U.S. House of Representatives,"55,827"
Juan M. Hidalgo Jr.,Districtwide,District 51,REP,U.S. House of Representatives,"26,126"
Juan Vargas,Imperial,District 51,DEM,U.S. House of Representatives,"13,007"
Juan M. Hidalgo Jr.,Imperial,District 51,REP,U.S. House of Representatives,"7,163"
Juan Vargas,San Diego,District 51,DEM,U.S. House of Representatives,"42,820"
Juan M. Hidalgo Jr.,San Diego,District 51,REP,U.S. House of Representatives,"18,963"
"Veronica ""Roni"" Jacobi",Districtwide,District 2,DEM,State Senate,"63,831"
Mike McGuire,Districtwide,District 2,DEM,State Senate,"140,719"
"Veronica ""Roni"" Jacobi",Del Norte,District 2,DEM,State Senate,"2,131"
Mike McGuire,Del Norte,District 2,DEM,State Senate,"3,384"
"Veronica ""Roni"" Jacobi",Humboldt,District 2,DEM,State Senate,"9,187"
Mike McGuire,Humboldt,District 2,DEM,State Senate,"16,044"
"Veronica ""Roni"" Jacobi",Lake,District 2,DEM,State Senate,"3,761"
Mike McGuire,Lake,District 2,DEM,State Senate,"7,303"
"Veronica ""Roni"" Jacobi",Marin,District 2,DEM,State Senate,"19,083"
Mike McGuire,Marin,District 2,DEM,State Senate,"46,376"
"Veronica ""Roni"" Jacobi",Mendocino,District 2,DEM,State Senate,"4,639"
Mike McGuire,Mendocino,District 2,DEM,State Senate,"8,720"
"Veronica ""Roni"" Jacobi",Sonoma,District 2,DEM,State Senate,"23,611"
Mike McGuire,Sonoma,District 2,DEM,State Senate,"56,785"
"Veronica ""Roni"" Jacobi",Trinity,District 2,DEM,State Senate,"1,419"
Mike McGuire,Trinity,District 2,DEM,State Senate,"2,107"
Phillip Kim,Districtwide,District 4,DEM,State Senate,"79,747"
James Nielsen,Districtwide,District 4,REP,State Senate,"113,160"
Phillip Kim,Butte,District 4,DEM,State Senate,"31,697"
James Nielsen,Butte,District 4,REP,State Senate,"38,050"
Phillip Kim,Colusa,District 4,DEM,State Senate,"1,632"
James Nielsen,Colusa,District 4,REP,State Senate,"3,174"
Phillip Kim,Glenn,District 4,DEM,State Senate,"1,149"
James Nielsen,Glenn,District 4,REP,State Senate,"2,885"
Phillip Kim,Placer,District 4,DEM,State Senate,"13,966"
James Nielsen,Placer,District 4,REP,State Senate,"20,306"
Phillip Kim,Sacramento,District 4,DEM,State Senate,"18,366"
James Nielsen,Sacramento,District 4,REP,State Senate,"20,612"
Phillip Kim,Sutter,District 4,DEM,State Senate,"5,250"
James Nielsen,Sutter,District 4,REP,State Senate,"10,719"
Phillip Kim,Tehama,District 4,DEM,State Senate,"4,014"
James Nielsen,Tehama,District 4,REP,State Senate,"10,178"
Phillip Kim,Yuba,District 4,DEM,State Senate,"3,673"
James Nielsen,Yuba,District 4,REP,State Senate,"7,236"
Richard Pan,Districtwide,District 6,DEM,State Senate,"73,940"
Eric Frame,Districtwide,District 6,NPP,State Senate,"34,726"
Richard Pan,Sacramento,District 6,DEM,State Senate,"67,908"
Eric Frame,Sacramento,District 6,NPP,State Senate,"31,380"
Richard Pan,Yolo,District 6,DEM,State Senate,"6,032"
Eric Frame,Yolo,District 6,NPP,State Senate,"3,346"
Paulina Miranda,Districtwide,District 8,DEM,State Senate,"83,147"
Andreas Borgeas,Districtwide,District 8,REP,State Senate,"132,594"
Paulina Miranda,Amador,District 8,DEM,State Senate,"5,440"
Andreas Borgeas,Amador,District 8,REP,State Senate,"9,737"
Paulina Miranda,Calaveras,District 8,DEM,State Senate,"5,839"
Andreas Borgeas,Calaveras,District 8,REP,State Senate,"9,952"
Paulina Miranda,Fresno,District 8,DEM,State Senate,"42,759"
Andreas Borgeas,Fresno,District 8,REP,State Senate,"67,038"
Paulina Miranda,Inyo,District 8,DEM,State Senate,"2,089"
Andreas Borgeas,Inyo,District 8,REP,State Senate,"2,668"
Paulina Miranda,Madera,District 8,DEM,State Senate,"3,100"
Andreas Borgeas,Madera,District 8,REP,State Senate,"6,830"
Paulina Miranda,Mariposa,District 8,DEM,State Senate,"2,512"
Andreas Borgeas,Mariposa,District 8,REP,State Senate,"4,138"
Paulina Miranda,Mono,District 8,DEM,State Senate,"2,303"
Andreas Borgeas,Mono,District 8,REP,State Senate,"1,896"
Paulina Miranda,Sacramento,District 8,DEM,State Senate,"2,836"
Andreas Borgeas,Sacramento,District 8,REP,State Senate,"4,116"
Paulina Miranda,Stanislaus,District 8,DEM,State Senate,"9,414"
Andreas Borgeas,Stanislaus,District 8,REP,State Senate,"15,725"
Paulina Miranda,Tulare,District 8,DEM,State Senate,470
Andreas Borgeas,Tulare,District 8,REP,State Senate,687
Paulina Miranda,Tuolumne,District 8,DEM,State Senate,"6,385"
Andreas Borgeas,Tuolumne,District 8,REP,State Senate,"9,807"
Bob Wieckowski,Districtwide,District 10,DEM,State Senate,"96,107"
Victor G. San Vicente,Districtwide,District 10,REP,State Senate,"35,516"
Bob Wieckowski,Alameda,District 10,DEM,State Senate,"61,025"
Victor G. San Vicente,Alameda,District 10,REP,State Senate,"21,312"
Bob Wieckowski,Santa Clara,District 10,DEM,State Senate,"35,082"
Victor G. San Vicente,Santa Clara,District 10,REP,State Senate,"14,204"
Anna Caballero,Districtwide,District 12,DEM,State Senate,"57,104"
Rob Poythress,Districtwide,District 12,REP,State Senate,"56,085"
Anna Caballero,Fresno,District 12,DEM,State Senate,"6,079"
Rob Poythress,Fresno,District 12,REP,State Senate,"8,937"
Anna Caballero,Madera,District 12,DEM,State Senate,"7,008"
Rob Poythress,Madera,District 12,REP,State Senate,"10,652"
Anna Caballero,Merced,District 12,DEM,State Senate,"15,428"
Rob Poythress,Merced,District 12,REP,State Senate,"16,439"
Anna Caballero,Monterey,District 12,DEM,State Senate,"14,302"
Rob Poythress,Monterey,District 12,REP,State Senate,"8,597"
Anna Caballero,San Benito,District 12,DEM,State Senate,"5,854"
Rob Poythress,San Benito,District 12,REP,State Senate,"5,337"
Anna Caballero,Stanislaus,District 12,DEM,State Senate,"8,433"
Rob Poythress,Stanislaus,District 12,REP,State Senate,"6,123"
Melissa Hurtado,Districtwide,District 14,DEM,State Senate,"42,671"
Andy Vidak,Districtwide,District 14,REP,State Senate,"39,543"
Melissa Hurtado,Fresno,District 14,DEM,State Senate,"15,643"
Andy Vidak,Fresno,District 14,REP,State Senate,"10,032"
Melissa Hurtado,Kern,District 14,DEM,State Senate,"12,062"
Andy Vidak,Kern,District 14,REP,State Senate,"7,648"
Melissa Hurtado,Kings,District 14,DEM,State Senate,"7,152"
Andy Vidak,Kings,District 14,REP,State Senate,"12,620"
Melissa Hurtado,Tulare,District 14,DEM,State Senate,"7,814"
Andy Vidak,Tulare,District 14,REP,State Senate,"9,243"
Ruth Musser-Lopez,Districtwide,District 16,DEM,State Senate,"56,602"
Shannon Grove,Districtwide,District 16,REP,State Senate,"114,173"
Ruth Musser-Lopez,Kern,District 16,DEM,State Senate,"34,714"
Shannon Grove,Kern,District 16,REP,State Senate,"76,400"
Ruth Musser-Lopez,San Bernardino,District 16,DEM,State Senate,"8,807"
Shannon Grove,San Bernardino,District 16,REP,State Senate,"14,700"
Ruth Musser-Lopez,Tulare,District 16,DEM,State Senate,"13,081"
Shannon Grove,Tulare,District 16,REP,State Senate,"23,073"
Connie Leyva,Districtwide,District 20,DEM,State Senate,"77,627"
Matthew Munson,Districtwide,District 20,REP,State Senate,"37,316"
Connie Leyva,Los Angeles,District 20,DEM,State Senate,"14,750"
Matthew Munson,Los Angeles,District 20,REP,State Senate,"5,131"
Connie Leyva,San Bernardino,District 20,DEM,State Senate,"62,877"
Matthew Munson,San Bernardino,District 20,REP,State Senate,"32,185"
Bob J. Archuleta,Districtwide,District 32,DEM,State Senate,"114,704"
Rita Topalian,Districtwide,District 32,REP,State Senate,"62,189"
Bob J. Archuleta,Los Angeles,District 32,DEM,State Senate,"109,628"
Rita Topalian,Los Angeles,District 32,REP,State Senate,"58,110"
Bob J. Archuleta,Orange,District 32,DEM,State Senate,"5,076"
Rita Topalian,Orange,District 32,REP,State Senate,"4,079"
Tom Umberg,Districtwide,District 34,DEM,State Senate,"73,345"
Janet Nguyen,Districtwide,District 34,REP,State Senate,"84,926"
Tom Umberg,Los Angeles,District 34,DEM,State Senate,"11,167"
Janet Nguyen,Los Angeles,District 34,REP,State Senate,"10,025"
Tom Umberg,Orange,District 34,DEM,State Senate,"62,178"
Janet Nguyen,Orange,District 34,REP,State Senate,"74,901"
Marggie Castellano,Districtwide,District 36,DEM,State Senate,"113,149"
Patricia C. 'Pat' Bates,Districtwide,District 36,REP,State Senate,"133,028"
Marggie Castellano,Orange,District 36,DEM,State Senate,"56,436"
Patricia C. 'Pat' Bates,Orange,District 36,REP,State Senate,"79,290"
Marggie Castellano,San Diego,District 36,DEM,State Senate,"56,713"
Patricia C. 'Pat' Bates,San Diego,District 36,REP,State Senate,"53,738"
Ben Hueso,Districtwide,District 40,DEM,State Senate,"77,402"
Luis R. Vargas,Districtwide,District 40,REP,State Senate,"46,768"
Ben Hueso,Imperial,District 40,DEM,State Senate,"12,451"
Luis R. Vargas,Imperial,District 40,REP,State Senate,"7,669"
Ben Hueso,San Diego,District 40,DEM,State Senate,"64,951"
Luis R. Vargas,San Diego,District 40,REP,State Senate,"39,099"
Caleen Sisk,Districtwide,District 1,DEM,State Assembly,"42,619"
Brian Dahle,Districtwide,District 1,REP,State Assembly,"80,757"
Caleen Sisk,Butte,District 1,DEM,State Assembly,"2,744"
